,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,Buyout,Rank,Games Won,Games Lost,Games Tied,Games Played,Win_Percent,Fuzzy_Score_Record,match_name_Record,School_Record,Stadium,City,State_x,Capacity,Record1,Built,Expanded,Surface,Conference_Stadium,Capacity_Thousands,Fuzzy_Score_Stadium,match_name_Stadium,School_Stadium,State_y,GSR,FGR,Conference_GradFB,Fuzzy_Score_GradFB,match_name_GradFB,School_FBgrad,Total Revenue,Total Expenses,Total Allocated,FinancialRank,Percent_Allocated,Conference_Finance,Fuzzy_Score_finance,match_name_finance,School_finance
37,Georgia Tech,ACC,Paul Johnson,3060018,3060018,1330000,225000,"$4,000,000 ",34t,9,5,0,14,0.64286,100,Georgia Tech,Georgia Tech,Bobby Dodd Stadium at Historic Grant Field,Atlanta,GA,55000,60316,1913,2003,Bermuda Grass,ACC,55,100,Georgia Tech,Georgia Tech,,,,,,,,81762024,84852123,7651426,51,9.36,ACC,100,Georgia Tech,Georgia Tech
38,Hawaii,Mt. West,Nick Rolovich,425004,486504,1260000,0,"$300,000 ",14t,11,3,0,14,0.78571,100,Hawaii,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Houston,AAC,Major Applewhite,1750000,1750000,782500,20000,"$2,112,500 ",22t,10,4,0,14,0.71429,100,Houston,Houston,,,,,,,,,,,,,,,,,,,,,57174900,55277308,25703451,56,44.96,AAC,100,Houston,Houston
40,Illinois,Big Ten,Lovie Smith,5000000,5000000,1000000,50000,"$12,636,991 ",107t,2,10,0,12,0.16667,100,Illinois,Illinois,Memorial Stadium,Champaign,IL,60670,78297,1923,2011,FieldTurf,Big Ten,60.67,100,Illinois,Illinois,,,,,,,,97447731,100739817,3281700,33,3.37,Big Ten,100,Illinois,Illinois
41,Indiana,Big Ten,Tom Allen,1830000,1830000,1441668,0,"$2,000,000 ",72t,5,7,0,12,0.41667,100,Indiana,Indiana,Memorial Stadium,Bloomington,IN,52959,56223,1960,2010,FieldTurf Revolution 360,Big Ten,52.959,100,Indiana,Indiana,,,,,,,,106139192,106131819,2569044,28,2.42,Big Ten,100,Indiana,Indiana
42,Iowa,Big Ten,Kirk Ferentz,4700000,4700000,2875000,600000,"$22,396,250 ",69t,6,7,0,13,0.46154,100,Iowa,Iowa,Kinnick Stadium,Iowa City,IA,70585,70585,1929,2006,FieldTurf,Big Ten,70.585,100,Iowa,Iowa,IA,65,56,Big Ten,100,Iowa,Iowa,130681467,128869211,650000,18,0.5,Big Ten,100,Iowa,Iowa
43,Iowa State,Big 12,Matt Campbell,3500000,3500000,750000,650000,"$19,291,667 ",81t,4,8,0,12,0.33333,100,Iowa State,Iowa State,Jack Trice Stadium,Ames,IA,61500,61500,1975,2015,Grass,Big 12,61.5,100,Iowa State,Iowa State,IA,52,58,Big 12,100,Iowa State,Iowa State,82659447,82565176,2133219,50,2.58,Big 12,100,Iowa State,Iowa State
44,Kansas,Big 12,David Beaty,1701109,1701109,2000000,0,"$3,000,000 ",60t,6,6,0,12,0.5,100,Kansas,Kansas,David Booth Kansas Memorial Stadium,Lawrence,KS,50071,52530,1921,1999,Synthetic Turf,Big 12,50.071,100,Kansas,Kansas,KS,51,48,Big 12,100,Kansas,Kansas,95251461,94709233,1920908,36,2.02,Big 12,100,Kansas,Kansas
45,Kansas State,Big 12,Bill Snyder,3500000,3500000,580000,50000,"$3,000,000 ",50t,7,6,0,13,0.53846,100,Kansas State,Kansas State,Bill Snyder Family Football Stadium,Manhattan,KS,50000,53811,1968,2005,Synthetic Turf,Big 12,50,100,Kansas State,Kansas State,KS,76,63,Big 12,100,Kansas State,Kansas State,86081528,73970354,450000,45,0.52,Big 12,100,Kansas State,Kansas State
46,Kent State,MAC,Sean Lewis,440000,440000,406000,--,"$1,150,000 ",,,,,,,,,,Dix Stadium,Kent,OH,25000,27363,1969,2008,FieldTurf,MAC,25,100,Kent State,Kent State,OH,83,76,MAC,100,Kent State,Kent State,28837710,29504048,18657839,106,64.7,MAC,100,Kent State,Kent State
