Cohort,School,Conference,Sport,State,GSR,FGR
1999,Tennessee State University,Ohio Valley Conference,Football,TN,82,75
1999,Tennessee Technological University,Ohio Valley Conference,Football,TN,51,41
1999,University of Tennessee at Chattanooga,Southern Conference,Football,TN,53,58
1999,"University of Tennessee, Knoxville",Southeastern Conference,Football,TN,58,40
1999,University of Tennessee at Martin,Ohio Valley Conference,Football,TN,46,36
1999,"Texas A&M University, College Station",Big 12 Conference,Football,TX,63,53
1999,Texas Christian University,Mountain West Conference,Football,TX,77,67
1999,Texas Southern University,Southwestern Athletic Conf.,Football,TX,39,35
1999,Texas Tech University,Big 12 Conference,Football,TX,73,63
1999,University of Texas at Austin,Big 12 Conference,Football,TX,40,29
1999,University of Texas at El Paso,Conference USA,Football,TX,44,37
1999,University of Toledo,Mid-American Conference,Football,OH,68,63
1999,Towson University,Atlantic 10 Conference,Football,MD,58,65
1999,Troy University,Sun Belt Conference,Football,AL,77,52
1999,Tulane University,Conference USA,Football,LA,77,71
1999,The University of Tulsa,Conference USA,Football,OK,58,39
1999,U.S. Air Force Academy,Mountain West Conference,Football,CO,93,
1999,U.S. Military Academy,Conference USA,Football,NY,90,
1999,U.S. Naval Academy,Independent,Football,MD,98,
1999,Utah State University,Western Athletic Conference,Football,UT,55,42
1999,University of Utah,Mountain West Conference,Football,UT,56,47
1999,Valparaiso University,Pioneer Football League,Football,IN,90,
1999,Vanderbilt University,Southeastern Conference,Football,TN,92,86
1999,Villanova University,Atlantic 10 Conference,Football,PA,93,83
1999,Virginia Military Institute,Big South Conference,Football,VA,58,51
1999,Virginia Polytechnic Institute and State University,Atlantic Coast Conference,Football,VA,74,62
1999,University of Virginia,Atlantic Coast Conference,Football,VA,63,60
1999,Wagner College,Northeast Conference,Football,NY,79,58
1999,Wake Forest University,Atlantic Coast Conference,Football,NC,93,86
1999,Washington State University,Pac-12 Conference,Football,WA,57,62
1999,University of Washington,Pac-12 Conference,Football,WA,66,59
1999,Weber State University,Big Sky Conference,Football,UT,78,37
1999,West Virginia University,American Athletic Conference,Football,WV,63,52
1999,Western Carolina University,Southern Conference,Football,NC,78,58
1999,Western Illinois University,Missouri Valley Football Conference,Football,IL,48,58
1999,Western Kentucky University,Missouri Valley Football Conference,Football,KY,63,42
1999,Western Michigan University,Mid-American Conference,Football,MI,70,69
1999,College of William & Mary,Atlantic 10 Conference,Football,VA,98,92
1999,University of Wisconsin-Madison,Big Ten Conference,Football,WI,62,51
1999,University of Wyoming,Mountain West Conference,Football,WY,73,42
1999,Youngstown State University,Missouri Valley Football Conference,Football,OH,60,53
1999,Elon University,Southern Conference,Football,NC,90,82
1999,Gardner-Webb University,Big South Conference,Football,NC,25,26
1999,"University of Arkansas, Pine Bluff",Southwestern Athletic Conf.,Football,AR,47,40
1999,Wofford College,Southern Conference,Football,SC,86,71
